Город;Площадь территории1),  тыс. км2;Численность   населения  на 1 января  2023 г., тыс. человек;Среднегодовая численность занятых2),  тыс. человек;Средне- душевые денежные доходы  (в месяц), руб.;Потреби- тельские расходы в среднем  на душу населения  (в месяц), руб. ;Среднемесячная  номинальная начисленная  заработная плата работников организаций, руб.      ;Валовой  региональ- ный  продукт  в 2021 г. , млрд руб.;Инвестиции  в основной  капитал3),  млрд руб.;"Основные  фонды  в экономике  (по полной учетной стоимости;  на конец года)4), млрд руб.";Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности,  млрд руб.;;;;Продукция  сельского  хозяйства -  всего, млрд руб.;в том числе;;Ввод  в действие  жилых домов, тыс. м2  общей  площади  жилых  помещений;Оборот  розничной  торговли,  млрд руб.           ;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5),  млрд руб.
Ленинградская область;83,9;2 023,8;871,1;38 963,0;32 789,0;60 008,0;1 481,0;545,7;7 158,0;31,0;1 668,6;209,6;28,2;119,5;29,9;89,6;3 968,7;620,2;405,1
Мурманская область;144,9;658,7;340,9;62 601,0;45 567,0;87 326,0;1 084,0;256,1;3 373,0;191,3;888,5;67,4;9,5;2,2;0,7;1,5;180,4;220,2;322,3
Новгородская область;54,5;575,9;268,1;33 729,0;29 024,0;45 247,0;342,0;57,2;1 495,0;1,6;362,8;22,1;4,2;32,1;12,4;19,7;343,9;153,5;240,4
Псковская область;55,4;587,8;275,9;33 090,0;29 269,0;38 966,0;220,0;39,6;902,0;3,0;163,9;13,7;4,7;56,4;11,0;45,4;339,6;163,3;17,7
г. Санкт-Петербург;1,4;5 600,0;3 213,6;63 495,0;48 134,0;86 630,0;9 440,0;997,5;24 215,0;261,0;4 763,1;269,6;93,5;;;;3 474,2;2 051,2;1 925,2
Южный  федеральный округ;447,8;16 642,1;7 695,5;39 263,0;34 982,0;46 231,0;7 953,0;1 805,9;35 096,0;616,6;3 887,9;521,2;129,4;1 513,1;1 115,0;398,1;13 760,8;4 804,2;994,9
Республика Адыгея;7,8;498,0;152,5;36 397,0;30 511,0;40 231,0;171,0;46,5;551,0;4,0;77,7;10,4;2,5;33,9;21,2;12,7;468,0;142,9;6,4
Республика Калмыкия;74,7;264,5;112,0;23 684,0;15 205,0;36 349,0;100,0;14,3;350,0;…7);1,0;13,3;…7);26,9;10,0;16,9;123,0;30,8;-0,5
Республика Крым;26,1;1 916,8;839,0;28 699,0;24 649,0;41 986,0;587,0;214,1;4 126,0;11,9;143,4;48,6;9,3;82,4;57,9;24,5;927,2;372,4;15,1
Краснодарский край;75,5;5 819,3;2 739,0;48 279,0;45 331,0;50 252,0;3 201,0;690,7;14 671,0;33,3;1 520,5;125,8;44,9;602,9;457,0;145,9;7 592,6;2 104,7;542,9
